6,211049;1,823502;-4,36862;0,0406018;-0,7363592;-0,1853229;0,6494476
6,21115;1,823792;-4,369023;0,04264703;-0,7354093;-0,1858671;0,650237
6,21104;1,823907;-4,369196;0,04446427;-0,7347088;-0,1861209;0,650834
6,210856;1,823877;-4,369143;0,04695393;-0,7344063;-0,1873979;0,6506342
6,210866;1,823889;-4,369104;0,0500174;-0,7346356;-0,1897141;0,6494749
6,21086;1,823947;-4,369041;0,05161949;-0,7358928;-0,1903518;0,6477373
6,210813;1,823934;-4,368971;0,05227857;-0,7370082;-0,1894506;0,6466796
6,210752;1,823917;-4,368883;0,05290602;-0,7378659;-0,1888471;0,6458265
6,210679;1,823896;-4,368777;0,05351246;-0,7385726;-0,1884188;0,6450933
6,210238;1,823905;-4,368216;0,05151825;-0,7393686;-0,1865284;0,6448932
6,209978;1,823669;-4,367998;0,05037902;-0,7395267;-0,1856894;0,645044
6,209333;1,823351;-4,367702;0,04850846;-0,7394418;-0,1846751;0,6455758
6,208677;1,823026;-4,367405;0,04655906;-0,7393974;-0,1835757;0,6460835
6,20881;1,822745;-4,367321;0,04440058;-0,7389678;-0,1832428;0,646821
6,208911;1,822522;-4,367255;0,04246461;-0,7386299;-0,1828984;0,6474342
6,209049;1,822026;-4,367306;0,03892658;-0,7381985;-0,1829797;0,6481252
6,209314;1,821956;-4,367476;0,03633379;-0,7378306;-0,1854793;0,6479841
6,209708;1,822107;-4,367831;0,03751576;-0,7380869;-0,1894467;0,6464755
6,210209;1,822298;-4,368284;0,03830158;-0,7382926;-0,1926482;0,645247
6,210408;1,822492;-4,368361;0,03996813;-0,7383556;-0,1939726;0,644677
6,210694;1,822594;-4,368395;0,04134844;-0,737822;-0,1936477;0,6452983
6,210984;1,822695;-4,368432;0,04234181;-0,7374314;-0,1935005;0,6457242
6,211036;1,822954;-4,368793;0,04265781;-0,7374135;-0,1926012;0,6459928
6,210865;1,822956;-4,368817;0,04207314;-0,7367823;-0,1885588;0,6479411
6,21075;1,822956;-4,368832;0,0413047;-0,735948;-0,1834775;0,6503928
6,210612;1,822954;-4,368733;0,03846581;-0,7353765;-0,1776502;0,6528265
6,210393;1,82295;-4,368576;0,03646548;-0,7349381;-0,1735217;0,654543
6,210042;1,822843;-4,368445;0,0364956;-0,7357084;-0,1723751;0,6539788
6,209899;1,822855;-4,368412;0,03710075;-0,7370435;-0,1733803;0,6521732
6,20985;1,822747;-4,368176;0,03883477;-0,7376716;-0,1750604;0,650912
6,209805;1,822643;-4,367948;0,03996821;-0,7380879;-0,1761158;0,6500863
6,209769;1,822679;-4,367765;0,04057001;-0,7381097;-0,1778255;0,6495587
6,209904;1,822791;-4,367794;0,04215705;-0,738299;-0,1804097;0,6485291
6,210054;1,82305;-4,367796;0,0439816;-0,737921;-0,1822671;0,6483186
6,21026;1,823407;-4,367797;0,04558823;-0,7376003;-0,1838204;0,648134
6,210981;1,824015;-4,367955;0,05024231;-0,7374266;-0,1889562;0,6465086
6,211791;1,824694;-4,368132;0,05394037;-0,7372627;-0,1929244;0,6452244
6,212499;1,824846;-4,368346;0,05489171;-0,7369357;-0,1922138;0,6457295
6,213089;1,825407;-4,368634;0,05481255;-0,7366852;-0,1908516;0,6464258
6,21316;1,825378;-4,368629;0,05339245;-0,7362405;-0,1881286;0,6478479
6,213046;1,825622;-4,36875;0,05176461;-0,7365828;-0,1867833;0,6479802
6,212795;1,825643;-4,368664;0,04909535;-0,7369215;-0,1842976;0,6485143
6,212611;1,825663;-4,368599;0,04615489;-0,7372844;-0,1814888;0,6491097
6,212404;1,825691;-4,368527;0,04359034;-0,7375907;-0,1789677;0,6496387
6,21207;1,825617;-4,368663;0,04179205;-0,7374054;-0,1776217;0,6503364
6,211197;1,825241;-4,368721;0,04012645;-0,7365866;-0,17627;0,6517354
6,210918;1,824861;-4,368769;0,0410535;-0,7357601;-0,1774012;0,6523042
6,210656;1,824553;-4,368902;0,04254845;-0,7346993;-0,1781498;0,6531994
6,210413;1,824269;-4,369029;0,04367461;-0,7338315;-0,178663;0,6539599
6,210198;1,824016;-4,369143;0,04461236;-0,7330455;-0,1790435;0,6546738
6,210133;1,823697;-4,369036;0,04635484;-0,7319682;-0,1801421;0,6554561
6,210025;1,823619;-4,368798;0,04704802;-0,7316766;-0,1821806;0,6551689
6,209831;1,823465;-4,368522;0,04808304;-0,7324086;-0,1834723;0,6539143
6,209631;1,823303;-4,368243;0,04905021;-0,7330029;-0,1846374;0,6528476
6,209517;1,822982;-4,367916;0,05065164;-0,7343321;-0,185201;0,6510695
