R_IndexMetacarpal;6,119159;1,816088;-4,463788;-0,06570542;0,8177306;0,11328;-0,5605063
R_IndexProximal;6,060222;1,825208;-4,488915;-0,06458309;0,8183954;0,06200825;-0,5676383
R_IndexIntermediate;6,02201;1,826357;-4,5031;-0,1442763;0,8158911;-0,007812805;-0,5598618
R_IndexDistal;5,9982;1,821803;-4,512846;-0,1739595;0,7982392;-0,02621526;-0,5760776
R_IndexTip;5,975882;1,816933;-4,520427;-0,1739595;0,7982392;-0,02621526;-0,5760776
R_LittleMetacarpal;6,104027;1,803861;-4,421336;-0,2590672;0,7014052;0,2015093;-0,6326998
R_LittleProximal;6,055345;1,801647;-4,427137;-0,1516954;0,6742486;0,1733441;-0,7016619
R_LittleIntermediate;6,022357;1,802336;-4,425659;-0,2812697;0,6562106;0,1133374;-0,690963
R_LittleDistal;6,001163;1,797097;-4,426084;-0,28268;0,690842;0,1190408;-0,6547205
R_LittleTip;5,977945;1,793456;-4,428301;-0,28268;0,690842;0,1190408;-0,6547205
R_MiddleMetacarpal;6,115025;1,813091;-4,446907;-0,06570542;0,8177306;0,11328;-0,5605063
R_MiddleProximal;6,052154;1,824621;-4,466297;-0,1067812;0,7790658;0,07524538;-0,6131822
R_MiddleIntermediate;6,007318;1,823988;-4,477221;-0,1641925;0,7791452;0,0203684;-0,6046147
R_MiddleDistal;5,979213;1,819048;-4,48516;-0,1930743;0,7706857;0,05183567;-0,6050447
R_MiddleTip;5,953294;1,815927;-4,491518;-0,1930743;0,7706857;0,05183567;-0,6050447
Spawner Right;6,052154;1,824621;-4,466297;0,2141159;0,6370681;0,4546973;-0,5844221
R_Palm;6,08359;1,818856;-4,456602;-0,06570542;0,8177306;0,11328;-0,5605063
R_RingMetacarpal;6,106521;1,809498;-4,428411;-0,06570542;0,8177306;0,11328;-0,5605063
R_RingProximal;6,051544;1,814811;-4,446214;-0,124009;0,7437997;0,1239739;-0,6449919
R_RingIntermediate;6,010026;1,815836;-4,451967;-0,1986807;0,7459218;0,08999366;-0,6293077
R_RingDistal;5,982184;1,812528;-4,457445;-0,2286388;0,7660515;0,06690894;-0,5970033
R_RingTip;5,956944;1,809483;-4,463827;-0,2286388;0,7660515;0,06690894;-0,5970033
R_ThumbMetacarpal;6,125832;1,812883;-4,475008;0,4963059;0,8522872;-0,1225091;-0,1108103
R_ThumbProximal;6,114979;1,809428;-4,508055;0,4180765;0,866999;-0,160104;-0,2188417
R_ThumbDistal;6,096328;1,80599;-4,539045;0,488513;0,8485605;-0,1591909;-0,1263283
R_ThumbTip;6,087065;1,803258;-4,563692;0,488513;0,8485605;-0,1591909;-0,1263283
R_Wrist;6,147662;1,815677;-4,428413;-0,06620541;0,8174978;0,1143618;-0,5605673
R_IndexMetacarpal;6,119472;1,816497;-4,463852;-0,06620541;0,8174978;0,1143618;-0,5605673
R_IndexProximal;6,060536;1,82571;-4,488935;-0,06543799;0,8184662;0,06254391;-0,5673795
R_IndexIntermediate;6,022332;1,826857;-4,503138;-0,1453557;0,815992;-0,00766661;-0,5594375
R_IndexDistal;5,998536;1,82228;-4,512908;-0,1750128;0,7983381;-0,02608074;-0,5756277
R_IndexTip;5,97623;1,817389;-4,520514;-0,1750128;0,7983381;-0,02608074;-0,5756277
R_LittleMetacarpal;6,104361;1,804187;-4,421423;-0,2596559;0,7010876;0,2025032;-0,6324931
R_LittleProximal;6,055675;1,802003;-4,427211;-0,1529276;0,6739866;0,1737961;-0,7015341
R_LittleIntermediate;6,022686;1,802654;-4,425734;-0,2822268;0,6559186;0,113983;-0,6907437
R_LittleDistal;6,001494;1,797405;-4,426166;-0,2835079;0,690533;0,1198266;-0,6545452
R_LittleTip;5,978277;1,793764;-4,428382;-0,2835079;0,690533;0,1198266;-0,6545452
R_MiddleMetacarpal;6,115344;1,813467;-4,446975;-0,06620541;0,8174978;0,1143618;-0,5605673
R_MiddleProximal;6,052477;1,825072;-4,466314;-0,107681;0,7791132;0,07586175;-0,6128888
R_MiddleIntermediate;6,007648;1,824436;-4,477262;-0,165007;0,7792295;0,02105203;-0,6042609
R_MiddleDistal;5,979548;1,819501;-4,485226;-0,1937974;0,7707255;0,05260541;-0,6046965
R_MiddleTip;5,953631;1,81639;-4,491601;-0,1937974;0,7707255;0,05260541;-0,6046965
Spawner Right;6,052477;1,825072;-4,466314;0,2131899;0,636801;0,4552548;-0,5846177
R_Palm;6,08391;1,819269;-4,456645;-0,06620541;0,8174978;0,1143618;-0,5605673
R_RingMetacarpal;6,106853;1,80984;-4,428486;-0,06620541;0,8174978;0,1143618;-0,5605673
R_RingProximal;6,051871;1,815214;-4,446254;-0,1250029;0,7436469;0,1245458;-0,644866
R_RingIntermediate;6,010354;1,816221;-4,45201;-0,1995152;0,7457588;0,09073044;-0,629131
R_RingDistal;5,982512;1,812915;-4,457493;-0,2293419;0,765903;0,06778465;-0,5968254
R_RingTip;5,957272;1,809883;-4,463876;-0,2293419;0,765903;0,06778465;-0,5968254
R_ThumbMetacarpal;6,126132;1,813303;-4,475083;0,4963807;0,8521781;-0,1220217;-0,1118462
R_ThumbProximal;6,115234;1,809915;-4,508122;0,4179065;0,8667292;-0,1602176;-0,2201491
R_ThumbDistal;6,096503;1,80651;-4,539068;0,4883401;0,8483715;-0,1595937;-0,12775
R_ThumbTip;6,087168;1,803797;-4,56369;0,4883401;0,8483715;-0,1595937;-0,12775
R_Wrist;6,147966;1,815972;-4,428483;-0,06660701;0,81733;0,115109;-0,5606115
R_IndexMetacarpal;6,119756;1,81684;-4,463914;-0,06660701;0,81733;0,115109;-0,5606115
R_IndexProximal;6,060825;1,826121;-4,488965;-0,06620093;0,818566;0,06272769;-0,5671265
R_IndexIntermediate;6,022628;1,827247;-4,50319;-0,1463542;0,816088;-0,007889368;-0,5590339
R_IndexDistal;5,998849;1,822634;-4,512983;-0,175978;0,7984218;-0,02631432;-0,5752063
R_IndexTip;5,976558;1,817709;-4,520611;-0,175978;0,7984218;-0,02631432;-0,5752063
R_LittleMetacarpal;6,104665;1,804477;-4,421501;-0,2601156;0,7008495;0,2031824;-0,6323504
R_LittleProximal;6,055977;1,80231;-4,42728;-0,1543771;0,6739407;0,1736287;-0,7013022
R_LittleIntermediate;6,022985;1,802888;-4,425828;-0,2832996;0,6557422;0,1140386;-0,6904626
R_LittleDistal;6,001801;1,797611;-4,426276;-0,2844624;0,6903272;0,120044;-0,6543082
R_LittleTip;5,978589;1,793948;-4,428503;-0,2844624;0,6903272;0,120044;-0,6543082
R_MiddleMetacarpal;6,115632;1,81379;-4,447039;-0,06660701;0,81733;0,115109;-0,5606115
R_MiddleProximal;6,052772;1,825445;-4,466343;-0,1084292;0,7792222;0,076184;-0,6125783
R_MiddleIntermediate;6,00795;1,824794;-4,477322;-0,1656931;0,7793545;0,021407;-0,6038995
R_MiddleDistal;5,979859;1,819855;-4,48531;-0,1943858;0,7708133;0,05305535;-0,6043565
R_MiddleTip;5,953946;1,816746;-4,491703;-0,1943858;0,7708133;0,05305535;-0,6043565
Spawner Right;6,052772;1,825445;-4,466343;0,2123867;0,6367341;0,4555883;-0,584723
R_Palm;6,084202;1,819618;-4,456691;-0,06660701;0,81733;0,115109;-0,5606115
R_RingMetacarpal;6,107156;1,810141;-4,428555;-0,06660701;0,81733;0,115109;-0,5606115
R_RingProximal;6,05217;1,815554;-4,4463;-0,1259512;0,7435889;0,1246931;-0,6447198
R_RingIntermediate;6,010653;1,81652;-4,452068;-0,2002849;0,7456569;0,09105991;-0,6289594
R_RingDistal;5,982815;1,813202;-4,45756;-0,2299645;0,7657957;0,06828041;-0,5966667
R_RingTip;5,957575;1,810169;-4,463947;-0,2299645;0,7657957;0,06828041;-0,5966667
R_ThumbMetacarpal;6,126401;1,813648;-4,475153;0,4964379;0,852041;-0,1219214;-0,1127425
R_ThumbProximal;6,115455;1,810299;-4,50818;0,4177657;0,8664132;-0,1606736;-0,2213231
R_ThumbDistal;6,096643;1,806902;-4,539077;0,4881676;0,8481464;-0,1603097;-0,1290001
R_ThumbTip;6,087235;1,80419;-4,563671;0,4881676;0,8481464;-0,1603097;-0,1290001
R_Wrist;6,147943;1,816081;-4,428699;-0,06604488;0,8168764;0,1155798;-0,561242
R_IndexMetacarpal;6,119669;1,816982;-4,464082;-0,06604488;0,8168764;0,1155798;-0,561242
R_IndexProximal;6,060711;1,826347;-4,489028;-0,06572536;0,8183582;0,06310252;-0,5674402
R_IndexIntermediate;6,022503;1,827517;-4,50322;-0,1459713;0,8159304;-0,00757435;-0,5593684
R_IndexDistal;5,998712;1,822927;-4,512994;-0,1755026;0,7982756;-0,02582287;-0,5755765
R_IndexTip;5,976408;1,818032;-4,520602;-0,1755026;0,7982756;-0,02582287;-0,5755765
R_LittleMetacarpal;6,10464;1,804638;-4,421644;-0,2595552;0,7004468;0,2038559;-0,6328099
R_LittleProximal;6,05594;1,802532;-4,427339;-0,1547784;0,6729985;0,173284;-0,7022035
R_LittleIntermediate;6,022951;1,803056;-4,425811;-0,2831867;0,6546323;0,1143391;-0,691512
R_LittleDistal;6,001767;1,797773;-4,426193;-0,2841234;0,6892383;0,1205649;-0,6555065
R_LittleTip;5,978546;1,794115;-4,428339;-0,2841234;0,6892383;0,1205649;-0,6555065
R_MiddleMetacarpal;6,115571;1,813938;-4,447199;-0,06604488;0,8168764;0,1155798;-0,561242
R_MiddleProximal;6,052696;1,825678;-4,466393;-0,108231;0,7788497;0,07632503;-0,6130694
R_MiddleIntermediate;6,00786;1,825041;-4,477314;-0,1654927;0,7789935;0,02163159;-0,6044118
R_MiddleDistal;5,979756;1,820113;-4,485265;-0,194162;0,770459;0,0533037;-0,6048581
R_MiddleTip;5,953834;1,817017;-4,491623;-0,194162;0,770459;0,0533037;-0,6048581
Spawner Right;6,052696;1,825678;-4,466393;0,2128039;0,636341;0,4555242;-0,5850491
R_Palm;6,084134;1,819808;-4,456796;-0,06604488;0,8168764;0,1155798;-0,561242
R_RingMetacarpal;6,107127;1,8103;-4,428702;-0,06604488;0,8168764;0,1155798;-0,561242
R_RingProximal;6,052116;1,815784;-4,44635;-0,1260175;0,7430555;0,124571;-0,6453453
R_RingIntermediate;6,010591;1,816727;-4,452053;-0,2000896;0,7450746;0,0913278;-0,6296724
R_RingDistal;5,98274;1,813416;-4,45749;-0,2297259;0,7652435;0,06864186;-0,5974253
R_RingTip;5,957487;1,810395;-4,463827;-0,2297259;0,7652435;0,06864186;-0,5974253
